x,y,z,resultado
9.89013,7.59758,7.2158,24.7035
0.894192,4.98947,4.12336,10.007
7.02872,8.69686,3.62926,19.3548
0.755333,3.40434,8.97488,13.1346
9.91028,4.57045,1.97455,16.4553
9.25382,3.00089,7.83288,20.0876
1.63427,0.781579,0.351573,2.76742
9.60295,5.96973,5.50066,21.0733
3.03812,0.95645,3.84564,7.84021
5.53301,3.5435,2.88491,11.9614
1.96356,6.75405,1.29978,10.0174
0.926237,7.20939,3.00485,11.1405
6.29048,5.60381,1.59307,13.4874
2.51656,6.03504,2.72286,11.2745
7.6043,3.10068,6.26331,16.9683
2.59835,6.78487,7.67388,17.0571
0.595416,2.26539,9.34202,12.2028
6.67379,9.53703,9.74517,25.956
7.60552,8.93796,4.10199,20.6455
4.42,1.14536,7.59514,13.1605
4.38063,2.58889,6.36464,13.3341
2.54402,8.35658,2.25684,13.1574
8.37397,6.07471,1.2949,15.7436
6.2273,7.96655,3.1959,17.3898
1.00681,7.55852,1.5009,10.0662
3.23313,9.30418,6.44246,18.9798
6.5096,4.25977,4.96139,15.7308
2.57668,0.838954,6.92007,10.3357
8.49147,2.0835,8.14051,18.7155
9.2111,4.05194,3.0427,16.3057
7.51854,8.78475,8.79116,25.0945
8.70113,0.154118,4.32875,13.184
4.94888,2.42134,0.711997,8.08222
2.59682,5.02518,3.42845,11.0504
6.34571,2.64138,5.32487,14.312
7.42241,1.1127,3.81817,12.3533
8.19514,1.11484,8.61263,17.9226
9.12229,8.26838,4.7557,22.1464
0.6592,0.419324,3.01828,4.0968
1.70873,4.80422,7.1337,13.6467
2.94839,9.14121,8.51436,20.604
4.95407,1.7185,8.89004,15.5626
2.82662,6.12415,1.52867,10.4794
2.56478,3.28867,7.87652,13.73
4.06537,9.95361,0.991546,15.0105
0.572222,2.3307,4.78774,7.69066
1.52013,2.11341,3.66131,7.29484
6.94052,4.61898,0.182806,11.7423
9.24955,5.10331,2.39906,16.7519
8.88363,0.483108,9.02341,18.3901
8.88821,1.33091,7.41539,17.6345
5.34532,8.74447,4.76791,18.8577
9.6704,6.13666,7.9397,23.7468
9.75921,5.11002,4.14502,19.0143
4.23109,0.0308237,6.5624,10.8243
3.8612,0.227058,4.52071,8.60897
1.92999,2.44087,6.86666,11.2375
8.19025,7.99066,9.55657,25.7375
0.118107,3.17698,3.20017,6.49525
0.233467,8.717,6.83615,15.7866
9.81506,9.74242,5.74633,25.3038
8.24122,0.638447,4.5967,13.4764
1.88299,9.70367,0.714438,12.3011
8.7344,3.11258,4.87411,16.7211
9.26969,8.93216,0.729087,18.9309
9.99115,2.22571,8.52382,20.7407
6.43727,9.83032,0.589312,16.8569
3.47942,0.357067,4.93149,8.76797
5.0325,9.91241,4.76028,19.7052
1.65166,1.97852,7.07297,10.7031
1.33366,1.61351,1.50334,4.45051
4.89425,4.79507,2.11432,11.8036
2.36641,0.149846,0.66744,3.18369
4.04981,4.48256,0.288705,8.82107
0.0274667,8.92361,4.14655,13.0976
9.00815,9.03592,1.49846,19.5425
2.32765,2.62459,6.06952,11.0218
9.65819,1.33885,1.31382,12.3109
4.26008,8.03369,0.199896,12.4937
4.27045,2.25898,6.96707,13.4965
4.00464,2.85958,1.03336,7.89758
3.36497,7.60247,0.818506,11.7859
9.51354,5.01389,8.91079,23.4382
5.57176,6.89688,4.90921,17.3778
2.16834,9.71953,4.42915,16.317
7.17277,6.44276,6.76839,20.3839
4.46547,1.10904,9.70275,15.2773
0.160833,9.63439,4.97299,14.7682
3.77087,9.66796,9.90631,23.3451
6.00421,0.468154,4.20545,10.6778
0.390027,8.29524,4.2616,12.9469
5.14512,7.66259,5.05203,17.8597
1.72704,9.16929,7.44285,18.3392
6.81509,3.14402,4.74136,14.7005
1.43254,2.19642,6.52852,10.1575
1.25584,6.12445,2.70089,10.0812
9.42229,4.9205,1.39592,15.7387
8.19056,8.74752,0.441603,17.3797
1.70415,4.55733,4.03974,10.3012
2.57637,7.68822,0.164495,10.4291
4.37483,6.60482,0.992157,11.9718
2.62093,4.29487,1.79357,8.70937
0.129093,2.44789,9.05667,11.6337
6.91061,0.187384,5.20585,12.3038
4.50301,1.85125,4.19965,10.5539
8.63857,1.88147,4.44288,14.9629
8.98312,6.39882,2.91147,18.2934
6.48396,3.2667,4.92294,14.6736
5.42131,8.08832,0.914945,14.4246
5.00504,4.86343,4.38826,14.2567
7.06168,4.64797,2.01972,13.7294
3.66802,9.96582,4.74197,18.3758
2.21229,0.98056,6.40492,9.59777
4.13953,6.33076,6.32069,16.791
3.4138,5.68682,8.98618,18.0868
1.40538,4.18439,9.77447,15.3642
4.10871,4.13556,0.937223,9.18149
6.97043,3.29966,4.79202,15.0621
2.58065,6.29872,7.24662,16.126
3.03476,9.9646,0.722373,13.7217
5.5211,9.76409,6.545,21.8302
6.39973,5.06546,2.90719,14.3724
7.27439,7.26798,2.68441,17.2268
1.19572,3.52336,1.52593,6.245
1.85308,4.99008,6.8511,13.6943
1.57109,9.15433,8.22077,18.9462
9.43632,3.95672,0.654317,14.0474
0.502335,3.98206,0.931425,5.41581
3.53862,3.48918,0.902737,7.93054
0.12299,3.3076,0.527665,3.95825
5.61205,3.92956,1.85522,11.3968
3.67626,3.71838,5.17869,12.5733
6.73727,7.14744,6.94418,20.8289
0.621357,6.94418,1.23936,8.8049
7.5808,8.81832,5.48967,21.8888
5.82171,4.28999,3.98389,14.0956
4.13068,7.42668,7.06717,18.6245
2.34993,0.524308,9.02493,11.8992
4.17371,2.61086,3.14249,9.92706
6.5334,8.86013,7.01437,22.4079
4.25153,1.12644,8.6813,14.0593
4.65773,6.27094,1.41118,12.3399
5.22507,3.55541,1.82257,10.603
4.52528,7.0632,3.0369,14.6254
2.78634,0.226142,3.73547,6.74795
3.04056,8.66848,7.03055,18.7396
3.58531,1.86316,9.60234,15.0508
4.46486,3.25114,8.93124,16.6472
4.28785,0.495926,1.63244,6.41621
4.1496,8.18812,8.19422,20.5319
6.14277,0.401929,2.28767,8.83236
0.702536,4.05683,0.751061,5.51042
7.73522,8.56685,6.77053,23.0726
6.91336,6.67196,8.49117,22.0765
9.7824,0.561846,4.56954,14.9138
7.58202,6.2093,4.02905,17.8204
4.38002,2.14454,6.65365,13.1782
1.9599,7.81671,5.09049,14.8671
3.2252,0.489212,4.07575,7.79015
1.02176,0.540178,5.50127,7.0632
1.31382,3.05429,1.50334,5.87146
6.52882,1.18809,0.439772,8.15668
0.686972,7.86676,1.7777,10.3314
1.0535,3.12296,3.44798,7.62444
9.19767,7.80663,1.31474,18.319
7.0568,3.2139,3.04514,13.3158
8.28547,4.43312,7.17765,19.8962
0.00396741,9.47325,8.83663,18.3139
7.58538,5.36943,1.28849,14.2433
6.6274,3.58257,2.02063,12.2306
9.14213,4.4319,1.72246,15.2965
6.00879,2.75643,4.45021,13.2154
6.28712,6.83493,1.58177,14.7038
9.47356,0.490738,5.09507,15.0594
8.11304,4.16791,8.87478,21.1557
6.54683,1.93701,4.19294,12.6768
6.20258,6.66768,2.30995,15.1802
9.71404,3.17698,4.76211,17.6531
2.08594,4.86892,4.28144,11.2363
1.68157,0.803247,9.75951,12.2443
8.06452,0.224006,9.74426,18.0328
6.52028,5.17747,2.26508,13.9628
6.77999,6.03381,4.48164,17.2955
1.69683,3.8139,6.85324,12.364
2.52937,7.22648,4.63363,14.3895
2.89377,6.74062,4.09894,13.7333
5.98682,1.45604,7.5808,15.0237
8.81314,9.69237,8.14539,26.6509
0.0564592,5.88366,8.59645,14.5366
0.244453,9.84191,0.719016,10.8054
4.19355,5.11246,4.33973,13.6457
7.67479,8.71731,5.15732,21.5494
4.00555,7.34336,9.51354,20.8625
5.95965,4.23139,2.14759,12.3386
8.51863,9.10031,3.11075,20.7297
4.29579,4.64034,6.25904,15.1952
5.39567,5.16251,1.8656,12.4238
6.14338,7.95618,0.15717,14.2567
0.902432,0.813623,7.0571,8.77316
8.14692,7.17002,2.96457,18.2815
2.76406,9.48637,2.94626,15.1967
0.726341,0.790124,1.72918,3.24564
6.49251,1.54668,7.09616,15.1354
7.07602,5.95965,1.72033,14.756
